ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
22,8,352,352,15.0165,15.0387,23.4409,23.4515,48
23,8,368,368,15.7909,15.8106,23.3045,23.3118,48
24,8,384,384,16.4038,16.4234,23.4093,23.4152,48
25,8,400,400,16.8635,16.8884,23.7198,23.7322,48
26,8,416,416,17.2634,17.2844,24.0973,24.1105,48
27,8,432,432,17.8204,17.8473,24.2418,24.2566,48
29,8,464,464,18.8429,18.8655,24.6247,24.6305,48
28,8,448,448,18.3496,18.3736,24.4148,24.4202,48
30,8,480,480,19.8731,19.9003,24.1533,24.1664,48
31,8,496,496,20.402,20.4244,24.3113,24.3184,48
32,8,512,512,21.0549,21.0854,24.3174,24.3288,48
1,4,8,8,1.12053,1.12172,7.13949,7.14133,48
2,4,16,16,3.92014,3.92544,4.08149,4.08327,48
33,8,528,528,21.536,21.5616,24.517,24.5237,48
34,8,544,544,22.1671,22.1961,24.5409,24.5474,48
35,8,560,560,22.7896,22.8193,24.5726,24.5855,48
5,4,40,40,3.8812,3.88606,10.3061,10.3109,48
4,4,32,32,3.88153,3.88603,8.24418,8.24581,48
7,4,56,56,3.88225,3.88713,14.4246,14.43,48
3,4,24,24,3.88133,3.88558,6.18345,6.18489,48
6,4,48,48,3.88061,3.88515,12.3692,12.3729,48
8,4,64,64,3.89411,3.89871,16.4351,16.4404,48
9,4,72,72,4.04323,4.04807,17.8076,17.813,48
10,4,80,80,4.25036,4.2562,18.8219,18.8294,48
11,4,88,88,4.65688,4.6624,18.8968,18.9031,48
12,4,96,96,5.0772,5.08322,18.9081,18.9147,48
13,4,104,104,5.60528,5.61135,18.554,18.5615,48
14,4,112,112,5.98038,5.98762,18.7279,18.7316,48
15,4,120,120,6.32941,6.33723,18.9591,18.9704,48
16,4,128,128,6.71513,6.72051,19.0614,19.0676,48
17,4,136,136,7.23255,7.24189,18.8039,18.8112,48
18,4,144,144,7.6409,7.649,18.8459,18.8498,48
19,4,152,152,8.07009,8.07976,18.835,18.8383,48
20,4,160,160,8.49549,8.51303,18.8335,18.8408,48
21,4,168,168,8.9151,8.94725,18.8444,18.8563,48
22,4,176,176,9.31243,9.3243,18.8995,18.9075,48
23,4,184,184,9.79078,9.80204,18.7932,18.8014,48
24,4,192,192,10.2615,10.275,18.7107,18.7201,48
25,4,200,200,10.6979,10.712,18.6953,18.7026,48
26,4,208,208,11.0882,11.1009,18.7587,18.7648,48
27,4,216,216,11.4115,11.4264,18.9284,18.9347,48
28,4,224,224,11.7418,11.7549,19.0772,19.0864,48
29,4,232,232,11.9855,11.9996,19.3567,19.3618,48
30,4,240,240,12.3048,12.3206,19.5046,19.5129,48
31,4,248,248,12.792,12.8058,19.3871,19.3941,48
32,4,256,256,13.0338,13.0511,19.6413,19.6514,48
1,16,32,32,4.2641,4.28819,7.50462,7.63484,48
2,16,64,64,4.29522,4.30227,14.9003,14.9136,48
33,4,264,264,13.4304,13.4459,19.6569,19.6662,48
3,16,96,96,4.26941,4.27471,22.4855,22.4917,48
