Operation,Size,Bandwidth_MBS,AvgTime,MinTime,MaxTime,DataType
Add,2.88e+09,147231,0.0197149,0.019561,0.020691,8
Triad,2.88e+09,148124,0.0195696,0.0194432,0.0206124,8
Copy,2e+09,132484,0.0151879,0.0150961,0.0159885,8
Scale,2e+09,132009,0.0152346,0.0151504,0.0160441,8
Add,3e+09,147214,0.0204639,0.0203785,0.0213487,8
Triad,3e+09,147993,0.0203826,0.0202712,0.0215563,8
Copy,2.048e+09,132499,0.0155445,0.0154568,0.0161666,8
Scale,2.048e+09,131978,0.0156239,0.0155178,0.0166048,8
Add,3.072e+09,147322,0.0210225,0.0208522,0.0222712,8
Triad,3.072e+09,147776,0.0209462,0.0207882,0.0220637,8
Copy,2.08e+09,132567,0.01573,0.0156902,0.0159249,8
Scale,2.08e+09,131960,0.0158513,0.0157624,0.0170323,8
Add,3.12e+09,147345,0.0213272,0.0211748,0.0224132,8
Triad,3.12e+09,147818,0.0212371,0.021107,0.0223221,8
Copy,2.16e+09,132659,0.0163557,0.0162824,0.0170686,8
Scale,2.16e+09,131924,0.0164339,0.0163731,0.0170874,8
Add,3.24e+09,147300,0.0221364,0.021996,0.0232926,8
Triad,3.24e+09,147692,0.0219997,0.0219375,0.022802,8
Copy,2.24e+09,132544,0.0169864,0.0169,0.0177619,8
Scale,2.24e+09,131928,0.0170686,0.016979,0.0179379,8
Add,3.36e+09,147382,0.0228788,0.0227979,0.0238116,8
Triad,3.36e+09,148016,0.0228572,0.0227003,0.0242076,8
Copy,2.32e+09,132456,0.0175912,0.0175153,0.0184405,8
Scale,2.32e+09,131849,0.0177196,0.0175959,0.0186539,8
Add,3.48e+09,147351,0.0237549,0.023617,0.0247485,8
Triad,3.48e+09,147818,0.0236293,0.0235425,0.024462,8
Copy,2.4e+09,132386,0.0182228,0.0181287,0.0190944,8
Scale,2.4e+09,131894,0.0183472,0.0181965,0.0194661,8
Add,3.6e+09,147289,0.0245412,0.0244418,0.0255412,8
Triad,3.6e+09,147872,0.0245108,0.0243454,0.025704,8
Copy,1.6e+08,172280,0.000950349,0.000928722,0.000988814,8
Scale,1.6e+08,153949,0.00105877,0.00103931,0.00110597,8
Add,2.4e+08,172745,0.00141083,0.00138934,0.00147538,8
Triad,2.4e+08,170856,0.00141906,0.00140469,0.00143859,8
Copy,2.4e+08,153195,0.00159322,0.00156663,0.00165097,8
Scale,2.4e+08,140272,0.00173603,0.00171096,0.00189541,8
Add,3.6e+08,157026,0.00231297,0.00229261,0.00242449,8
Triad,3.6e+08,157658,0.00229691,0.00228342,0.00234342,8
Copy,2.56e+08,150056,0.00173216,0.00170603,0.00186096,8
Scale,2.56e+08,140297,0.00184583,0.00182469,0.00189491,8
Add,3.84e+08,157518,0.00248111,0.00243782,0.00269473,8
Triad,3.84e+08,156853,0.00246904,0.00244815,0.00258664,8
Copy,4e+08,141130,0.00285661,0.00283427,0.00287837,8
Scale,4e+08,135618,0.00297759,0.00294947,0.00313361,8
Add,6e+08,151963,0.00397391,0.00394833,0.00407701,8
Triad,6e+08,151556,0.00398937,0.00395893,0.00427657,8
Copy,3.2e+08,145149,0.00222642,0.00220464,0.00241525,8
Scale,3.2e+08,137011,0.00237372,0.00233559,0.00253772,8
Add,4.8e+08,153404,0.00316076,0.00312899,0.00330553,8
Triad,4.8e+08,154191,0.0031429,0.00311302,0.00335608,8
Copy,4.8e+08,138632,0.0034873,0.00346241,0.00353066,8
Scale,4.8e+08,134947,0.00358257,0.00355694,0.00366731,8
Add,7.2e+08,150811,0.00479686,0.0047742,0.00487624,8
Triad,7.2e+08,150978,0.00478984,0.00476889,0.00481114,8
Copy,5.12e+08,138494,0.00372551,0.00369691,0.00385384,8
Scale,5.12e+08,134010,0.00384821,0.00382061,0.00398254,8
Add,7.68e+08,150222,0.00514072,0.00511244,0.00519265,8
Triad,7.68e+08,149973,0.00514922,0.00512091,0.00519272,8
Copy,5.6e+08,137573,0.00410767,0.00407056,0.00429762,8
Scale,5.6e+08,133497,0.00421498,0.00419485,0.00427972,8
Add,8.4e+08,148409,0.00569053,0.00566005,0.00574349,8
Triad,8.4e+08,149447,0.00565138,0.00562071,0.00570816,8
Copy,6.4e+08,136414,0.00471455,0.00469158,0.00474901,8
Scale,6.4e+08,132441,0.00486717,0.00483234,0.00504139,8
Add,9.6e+08,147777,0.00651537,0.00649626,0.00664432,8
Triad,9.6e+08,147998,0.006507,0.0064866,0.00656059,8
Copy,7.2e+08,135285,0.00534568,0.00532211,0.00539904,8
Scale,7.2e+08,132546,0.00544578,0.00543206,0.005491,8
Add,1.08e+09,147685,0.00734668,0.00731288,0.00758883,8
Triad,1.08e+09,148638,0.00728714,0.00726599,0.00732986,8
Copy,8e+08,135270,0.00594451,0.0059141,0.00615014,8
Scale,8e+08,132783,0.00605226,0.00602488,0.00610312,8
Add,1.2e+09,148117,0.0081344,0.00810172,0.00831917,8
Triad,1.2e+09,148351,0.0081215,0.0080889,0.00822279,8
Copy,8.8e+08,134667,0.00655556,0.00653464,0.00661923,8
Scale,8.8e+08,132574,0.00667947,0.00663779,0.00673224,8
Add,1.32e+09,147273,0.00898361,0.00896294,0.00905311,8
Triad,1.32e+09,148219,0.00893858,0.00890572,0.00915549,8
Copy,9.6e+08,133699,0.00720831,0.0071803,0.00737602,8
Scale,9.6e+08,132177,0.00727858,0.00726297,0.00731478,8
Add,1.44e+09,147412,0.00987353,0.00976855,0.0110629,8
Triad,1.44e+09,148388,0.0097432,0.00970431,0.00987552,8
Copy,1.024e+09,134223,0.00765625,0.00762908,0.00770088,8
Scale,1.024e+09,132073,0.00777757,0.0077533,0.00780309,8
Add,1.536e+09,147937,0.0105077,0.0103828,0.0119724,8
Triad,1.536e+09,148210,0.010546,0.0103637,0.0122071,8
Copy,1.04e+09,134073,0.00777961,0.00775698,0.00783616,8
Scale,1.04e+09,132425,0.00796679,0.00785351,0.00952305,8
Add,1.56e+09,146843,0.0107583,0.0106236,0.0123509,8
Triad,1.56e+09,148077,0.0106265,0.010535,0.0118523,8
Copy,1.12e+09,133589,0.00866511,0.0083839,0.0110758,8
Scale,1.12e+09,132296,0.00856623,0.00846585,0.00953677,8
Add,1.68e+09,147344,0.011503,0.0114019,0.0126925,8
Triad,1.68e+09,148071,0.0114996,0.0113459,0.0125891,8
Copy,1.2e+09,133405,0.00911889,0.00899516,0.0102893,8
Scale,1.2e+09,131997,0.00920713,0.00909113,0.0100699,8
Add,1.8e+09,147223,0.0125104,0.0122263,0.0140486,8
Triad,1.8e+09,147945,0.0123275,0.0121667,0.013782,8
Copy,1.28e+09,133521,0.00969258,0.00958653,0.0107932,8
Scale,1.28e+09,131855,0.00991676,0.00970761,0.0117226,8
Add,1.92e+09,147267,0.0132432,0.0130376,0.0146161,8
Triad,1.92e+09,147828,0.0132254,0.0129881,0.0144969,8
Copy,1.36e+09,133239,0.010338,0.0102072,0.0112432,8
Scale,1.36e+09,132007,0.0104388,0.0103025,0.0115708,8
Add,2.04e+09,147486,0.0141972,0.0138318,0.015529,8
Triad,2.04e+09,147761,0.0141743,0.0138061,0.0176225,8
Copy,1.44e+09,132913,0.0109673,0.0108341,0.0119815,8
Scale,1.44e+09,131884,0.0110267,0.0109187,0.0118447,8
Add,2.16e+09,147154,0.0148332,0.0146785,0.0159582,8
Triad,2.16e+09,147828,0.0148552,0.0146116,0.0159988,8
Copy,1.6e+09,132634,0.0121713,0.0120632,0.0130416,8
Scale,1.6e+09,131481,0.0122506,0.012169,0.0128589,8
Add,2.4e+09,147339,0.0166086,0.016289,0.0187841,8
Triad,2.4e+09,147552,0.0164064,0.0162654,0.0172613,8
